2019-05-23 13:10:50.038,patient frame,aiiiici,
2019-05-23 13:29:15.125,patient frame,patient menu,
2019-05-23 13:29:19.384,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 13:30:08.188,patient frame,patient menu,
2019-05-23 13:34:27.983,patient frame,patient menu,
2019-05-23 13:34:41.682,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 13:34:46.055,patient frame,patient menu,
2019-05-23 14:01:41.144,patient frame,patient menu,
2019-05-23 14:04:05.126,patient frame,patient menu,
2019-05-23 14:04:13.645,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 14:04:37.3,patient frame,patient menu,
2019-05-23 14:05:00.687,patient frame,patient menu,
2019-05-23 14:05:09.802,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 14:07:25.103,patient frame,patient menu,
2019-05-23 14:07:28.51,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 14:41:49.237,patient frame,patient menu,
2019-05-23 14:41:54.816,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 14:44:51.358,patient frame,patient menu,
2019-05-23 14:44:54.521,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 14:45:51.939,patient frame,patient menu,
2019-05-23 14:45:55.814,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:02:05.028,patient frame,patient menu,
2019-05-23 15:02:08.591,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:02:10.279,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:02:10.369,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:02:10.389,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:02:10.425,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:07.493,patient frame,patient menu,
2019-05-23 15:05:12.657,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:14.144,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:14.165,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:14.185,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:14.204,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:16.155,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:16.17,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:16.183,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:16.21,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:16.453,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:16.464,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:16.478,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:16.492,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:16.654,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:16.666,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:16.692,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:16.833,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:21.292,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:21.306,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:21.318,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:21.331,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:21.501,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:21.514,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:21.526,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:21.536,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:21.698,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:21.71,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:21.721,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:21.733,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:21.895,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:21.907,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:21.918,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:21.928,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:22.239,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:22.251,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:22.262,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:22.272,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:22.448,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:22.459,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:22.47,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:05:22.48,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:06:42.244,patient frame,patient menu,
2019-05-23 15:06:45.767,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:06:47.562,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:06:47.585,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:06:47.601,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:06:47.62,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,
2019-05-23 15:09:06.924,patient frame,patient menu,AWT-EventQueue-0
2019-05-23 15:09:10.808,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:09:12.149,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:09:12.174,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:09:12.191,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:09:12.212,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:10:25.234,patient frame,patient menu,AWT-EventQueue-0
2019-05-23 15:10:39.824,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:10:43.807,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:10:43.828,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:10:43.846,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:10:43.867,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:13:36.141,patient frame,patient menu,AWT-EventQueue-0
2019-05-23 15:13:39.532,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:13:40.974,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:13:40.996,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:13:41.014,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:13:41.032,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:13:41.038,show appointments for patient,java.lang.NullPointerException,AWT-EventQueue-0
2019-05-23 15:14:01.408,patient frame,patient menu,AWT-EventQueue-0
2019-05-23 15:14:05.267,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:14:06.669,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:14:06.691,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:14:06.707,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:14:06.729,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:14:41.77,show appointments for patient,java.lang.NullPointerException,AWT-EventQueue-0
2019-05-23 15:15:50.959,patient frame,patient menu,AWT-EventQueue-0
2019-05-23 15:15:54.571,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:15:56.09,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:15:56.111,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:15:56.126,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:15:56.143,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:16:26.91,show appointments for patient,java.lang.NullPointerException,AWT-EventQueue-0
2019-05-23 15:19:38.777,patient frame,patient menu,AWT-EventQueue-0
2019-05-23 15:19:42.833,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:19:43.985,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:19:44.007,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:19:44.029,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:19:44.048,parse address ,java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1,AWT-EventQueue-0
2019-05-23 15:20:11.01,patient frame,patient menu,AWT-EventQueue-0
